datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;522;0522 Gymnasium am Mosbacher Berg;W;Gymnasium am Mosbacher Berg, Geb. M, Zimmer M 20;Mosbacher Straße 59, 65187 Wiesbaden;ja;
09.03.2025;06414000;611;0611 Gerh.-Hauptmann-Schule;W;Gerh.-Hauptmann-Schule, Eing. Blumenthalstr. Mensa;Manteuffelstraße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;621;0621 Friedrich-Ludwig-Jahn-Schule;W;Friedrich-Ludwig-Jahn-Schule, Eing. Adelheidstr., EG, Mensa;Karlstraße 21 bis 25, 65185 Wiesbaden;ja;
09.03.2025;06414000;622;0622 Hilde-Müller-Haus;W;Hilde-Müller-Haus, Saal;Wallufer Platz 2, 65197 Wiesbaden;ja;
09.03.2025;06414000;623;0623 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 020;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;624;0624 Gerh.-Hauptmann-Schule;W;Gerh.-Hauptmann-Schule, Eing. Blumenthalstr. Mensa;Manteuffelstraße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;631;0631 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 029;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;641;0641 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 030;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;642;0642 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 031;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;651;0651 Kinderhaus Kleinfeldchen;W;Kinderhaus Kleinfeldchen, Turnhalle Hintereingang;Dotzheimer Straße 161, 65197 Wiesbaden;ja;
09.03.2025;06414000;671;0671 Albrecht-Dürer-Schule;W;Albrecht-Dürer-Schule, Erdgeschoss, Mensa;Lahnstraße 34, 65195 Wiesbaden;nein;
09.03.2025;06414000;711;0711 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Eing. Klosterw. EG, Zi. 024 A;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;721;0721 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Seiteneing. EG, Zi. 024 B;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;722;0722 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Seiteneing. 1. OG, Zi. 124;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;723;0723 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Seiteneing. 1. OG, Zi. 125;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;811;0811 Elly-Heuss-Schule;W;Elly-Heuss-Schule, Container, Raum 081;Pl. d. Deutschen Einheit 2, 65185 Wiesbaden;ja;
09.03.2025;06414000;812;0812 Elly-Heuss-Schule;W;Elly-Heuss-Schule, Container, Raum 082;Pl. d. Deutschen Einheit 2, 65185 Wiesbaden;ja;
09.03.2025;06414000;821;0821 Blücherschule;W;Blücherschule, Erdg., Zimmer 2, links;Blücherplatz 1, 65195 Wiesbaden;nein;
09.03.2025;06414000;822;0822 Blücherschule;W;Blücherschule, Erdg., Zimmer 3, links;Blücherplatz 1, 65195 Wiesbaden;nein;
09.03.2025;06414000;823;0823 Blücherschule;W;Blücherschule, Erdg., Zimmer 4, links;Blücherplatz 1, 65195 Wiesbaden;nein;
09.03.2025;06414000;824;0824 Blücherschule;W;Blücherschule, Erdg., Zimmer 5, links;Blücherplatz 1, 65195 Wiesbaden;nein;
09.03.2025;06414000;825;0825 Blücherschule;W;Blücherschule, Erdg., Zimmer 11, rechts;Blücherplatz 1, 65195 Wiesbaden;nein;
09.03.2025;06414000;1111;1111 Bürgerhaus Sonnenberg;W;Bürgerhaus Sonnenberg, Kaisersaal;König-Adolf-Straße 6, 65191 Wiesbaden;ja;
09.03.2025;06414000;1121;1121 SchulKinderhaus;W;SchulKinderhaus, Raum 1;Am Schlossberg 30, 65191 Wiesbaden;nein;
09.03.2025;06414000;1131;1131 Bürgerhaus Sonnenberg;W;Bürgerhaus Sonnenberg, Kaisersaal;König-Adolf-Straße 6, 65191 Wiesbaden;ja;
09.03.2025;06414000;1132;1132 Evangelische Versöhnungsgemeinde;W;Evangelische Versöhnungsgemeinde, Zwergenraum;Kirchbachstraße 44, 65191 Wiesbaden;ja;
09.03.2025;06414000;1141;1141 Ev. Kirchengemeinde Wartburg;W;Ev. Kirchengemeinde Wartburg;Kreuzbergstraße 9, 65193 Wiesbaden;ja;
09.03.2025;06414000;1171;1171 Ev. Thomasgemeinde;W;Ev. Thomasgemeinde, Gemeindehaus;Richard-Wagner-Straße 88A, 65193 Wiesbaden;ja;
09.03.2025;06414000;1211;1211 Theodor-Fliedner-Schule;W;Theodor-Fliedner-Schule, Gebäude B, Zimmer 14;Biegerstraße 15, 65191 Wiesbaden;ja;
09.03.2025;06414000;1212;1212 Gemeindehaus ev. Kirchengemeinde;W;Gemeindehaus ev. Kirchengemeinde, Großer Saal;Anton-Jäger-Straße 2, 65191 Wiesbaden;ja;
09.03.2025;06414000;1213;1213 Gemeindehaus ev. Kirchengemeinde;W;Gemeindehaus ev. Kirchengemeinde, Großer Konfirmandenraum;Anton-Jäger-Straße 2, 65191 Wiesbaden;ja;
09.03.2025;06414000;1221;1221 Altenhilfezentrum Konrad Arndt;W;Altenhilfezentrum Konrad Arndt, Großer Saal;Meißener Straße 25, 65191 Wiesbaden;ja;
09.03.2025;06414000;1222;1222 Altenwohnanlage Konrad Arndt;W;Altenwohnanlage Konrad Arndt, Gemeinschaftsraum;Meißener Straße 13, 65191 Wiesbaden;ja;
09.03.2025;06414000;1223;1223 Altenhilfezentrum Konrad Arndt;W;Altenhilfezentrum Konrad Arndt, Großer Saal;Meißener Straße 25, 65191 Wiesbaden;ja;
09.03.2025;06414000;1241;1241 Altenwohnanlage Konrad Arndt;W;Altenwohnanlage Konrad Arndt, Gemeinschaftsraum;Meißener Straße 13, 65191 Wiesbaden;ja;
09.03.2025;06414000;1261;1261 Theodor-Fliedner-Schule;W;Theodor-Fliedner-Schule, Gebäude B, Zimmer 13;Biegerstraße 15, 65191 Wiesbaden;ja;
09.03.2025;06414000;1271;1271 Evangelische Versöhnungsgemeinde;W;Evangelische Versöhnungsgemeinde, Gemeindesaal;Kirchbachstraße 44, 65191 Wiesbaden;ja;
09.03.2025;06414000;1311;1311 Justus-v.-Liebig-Schule (Neubau);W;Justus-v.-Liebig-Schule (Neubau), Zimmer 005;Lilienthalstraße 11, 65205 Wiesbaden;ja;
09.03.2025;06414000;1312;1312 Hermann-Ehlers-Schule;W;Hermann-Ehlers-Schule, Pavillon A 1;Tempelhofer Straße 57, 65205 Wiesbaden;ja;
09.03.2025;06414000;1313;1313 Justus-v.-Liebig-Schule (Neubau);W;Justus-v.-Liebig-Schule (Neubau), Zimmer 006;Lilienthalstraße 11, 65205 Wiesbaden;ja;
09.03.2025;06414000;1321;1321 Hermann-Ehlers-Schule;W;Hermann-Ehlers-Schule, Pavillon A 2;Tempelhofer Straße 57, 65205 Wiesbaden;ja;
09.03.2025;06414000;1322;1322 Justus-v.-Liebig-Schule (Neubau);W;Justus-v.-Liebig-Schule (Neubau), Zimmer 009;Lilienthalstraße 11, 65205 Wiesbaden;ja;
09.03.2025;06414000;1411;1411 Fluxusschule Biebrich;W;Fluxusschule Biebrich, EG, Mehrzweckraum;Pfälzer Straße 7, 65203 Wiesbaden;ja;
09.03.2025;06414000;1412;1412 Wilh.-Heinrich-v.-Riehl-Schule;W;Wilh.-Heinrich-v.-Riehl-Schule, Eing. Riehlstr. Neub. Zi. 010;Rud.-Dyckerhoff-Str. 10, 65203 Wiesbaden;ja;
09.03.2025;06414000;1413;1413 Rathaus Biebrich;W;Rathaus Biebrich, 1. Stock, Trausaal;Rathausstraße 63, 65203 Wiesbaden;ja;
