datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;43;00043 - Humboldtschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;44;00044 - IGS Lindenfeld (ehem. Bachschule);1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;45;00045 - IGS Lindenfeld (ehem. Bachschule);1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;46;00046 - IGS Lindenfeld (ehem. Bachschule);1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;47;00047 - IGS Lindenfeld (ehem. Bachschule);1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;48;00048 - IGS Lindenfeld (ehem. Bachschule);1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;49;00049 - Eigenbetrieb der Stadt Offenbach;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;50;00050 - Eigenbetrieb der Stadt Offenbach;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;51;00051 - Anne-Frank-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;52;00052 - Anne-Frank-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;53;00053 - Anne-Frank-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;54;00054 - Waldschule Tempelsee;1;0;;;;;;;;;;;;
